,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
289,06847900,-0.26223117665463125,-2.4108511661752186,0.9290271603224611,0.0,0.0056505342572269225,0.020822741091251373,0.10094969450294088,604,2,1298,162,82,112,-3.5871819982796995,-1.9705624723267354
290,06879650,0.4594398326919883,-0.041550985223039065,0.7453743744882244,0.0,0.029323277492100796,1.6659367799758784,1.4370922330237261,2814,0,2814,346,5479,244,-inf,-2.5816735048957904
291,07263295,0.5446951527301132,0.23794864537522023,0.4860587795548709,0.0,0.0564977743804504,5.4118971824646,3.4170807117476354,725,0,1922,551,741,176,-8.461009814277817,-3.2102631393223966
292,07340300,0.5940990947970584,0.12858157292646588,0.6090139308182878,0.10547232627868652,0.10650889574769454,6.602567672729492,4.763332788220406,0,0,277,526,371,122,-3.498462863467942,-2.6178896830282574
293,08109700,0.5270500212268084,-0.2342639269032521,0.6784681614716395,0.002518750797025861,0.01594789534018821,0.9262115180492335,1.154863099125925,114,1,555,621,465,291,-2.641936175903026,-3.512706978162683
294,08175000,0.5243737073392731,-0.4672797303366932,0.6421833816765506,0.0014459507074207067,0.017636640942074986,1.0002880096435538,1.3018173133305835,41,0,713,519,766,385,-3.7773711886515757,-3.8013914364188954
295,08200000,0.46388313773148426,0.41465841791123326,0.3874683191840138,8.896745202946814e-05,0.006847714043577989,1.542102575302124,0.8932762016872554,274,6,1689,599,501,441,-6.301338005090411,-3.7719828801120197
296,08267500,0.7104752899872931,0.3119193433903753,0.7339561936660142,0.19579394161701202,0.11652558584366314,2.5583741664886475,2.0835669194417834,0,0,7,0,158,238,-1.8367752409565465,-2.22221976120116
297,08380500,0.30354688146751707,0.30126301530090743,0.47177962030384374,0.028125954791903496,0.04152934147579608,0.867404407262796,0.450732378497508,0,0,65,14,249,94,-2.195150639776647,-1.5277785542757358
298,09066000,0.6013125098034777,-0.16542478544794176,0.883784375864007,0.17388589680194855,0.19093081829187944,6.879833698272705,6.371835527033487,0,0,0,0,624,609,-1.7712525095550902,-3.1778020140964065
299,09352900,0.45446255733837504,0.112861199169088,0.8828302924501967,0.19552387297153473,0.24342019017773306,7.377767562866211,6.816367576715666,0,0,104,0,297,479,-3.600680176500452,-3.134153148799959
300,09494000,0.14188036838296902,0.16044705747912152,1.0772598311905608,0.020934253931045532,0.030965523568920086,0.821071368455886,0.6540235137652286,0,0,194,28,378,213,-2.325015476015076,-2.014743056716615
301,12010000,0.7807450659413544,0.24453602764072155,0.7033196276155778,0.48286309838294983,0.4557243023170731,27.41972541809082,20.090100292533904,0,0,758,613,199,179,-3.4726012666160666,-3.8090359686673136
